date,Region,mean_daily_site_volume,median_daily_site_volume,total_daily_site_volume,n_sites
2021-06-27,NCITY,13759.558375634519,13305.0,2710633,197
2021-06-27,SCITY,12112.758620689656,12692.0,1756350,145
2021-06-27,WCITY1,13559.933333333332,12421.5,1627192,120
2021-06-28,CCITY,14859.228813559323,12493.0,1753389,118
2021-06-28,DCC1,20501.469696969696,16820.5,1353097,66
2021-06-28,IRE,19537.28125,16755.5,3751158,192
2021-06-28,IRE3,19863.241379310344,20005.0,576034,29
2021-06-28,NCITY,16516.903553299493,15589.0,3253830,197
2021-06-28,SCITY,13986.554794520547,14579.0,2042037,146
2021-06-28,WCITY1,16456.258333333335,15537.0,1974751,120
2021-06-29,CCITY,15245.64406779661,12942.5,1798986,118
2021-06-29,DCC1,20570.089552238805,17979.0,1378196,67
2021-06-29,IRE,20473.713541666668,17495.0,3930953,192
2021-06-29,IRE3,20274.41379310345,21097.0,587958,29
2021-06-29,NCITY,17128.913705583756,16554.0,3374396,197
2021-06-29,SCITY,14669.089041095891,15304.0,2141687,146
2021-06-29,WCITY1,16734.583333333332,15794.0,2008150,120
2021-06-30,CCITY,15668.322033898305,13510.0,1848862,118
2021-06-30,DCC1,21942.045454545456,19497.5,1448175,66
2021-06-30,IRE,20811.286458333332,18066.0,3995767,192
2021-06-30,IRE3,20639.48275862069,20781.0,598545,29
2021-06-30,NCITY,17340.065989847717,16578.0,3415993,197
2021-06-30,SCITY,15119.198630136987,15930.0,2207403,146
2021-06-30,WCITY1,17201.308333333334,16012.0,2064157,120
2021-07-01,CCITY,16186.728813559323,14171.5,1910034,118
2021-07-01,DCC1,21629.333333333332,18883.5,1427536,66
2021-07-01,IRE,20679.479166666668,17729.0,3970460,192
2021-07-01,IRE3,20646.379310344826,21443.0,598745,29
2021-07-01,NCITY,17504.45685279188,16496.0,3448378,197
2021-07-01,SCITY,15300.438356164384,15836.0,2233864,146
2021-07-01,WCITY1,17259.516666666666,16232.5,2071142,120
2021-07-02,CCITY,16510.43220338983,14594.0,1948231,118
2021-07-02,DCC1,21836.030303030304,18717.5,1441178,66
2021-07-02,IRE,20566.817708333332,17629.5,3948829,192
2021-07-02,IRE3,20379.44827586207,20260.0,591004,29
2021-07-02,NCITY,17709.20304568528,16804.0,3488713,197
2021-07-02,SCITY,15484.220689655172,15989.0,2245212,145
2021-07-02,WCITY1,17588.391666666666,16246.0,2110607,120
2021-07-03,CCITY,14663.5,12840.5,1730293,118
2021-07-03,DCC1,18468.39393939394,15976.5,1218914,66
2021-07-03,IRE,17081.833333333332,15194.5,3279712,192
2021-07-03,IRE3,18790.0,18208.0,526120,28
2021-07-03,NCITY,15271.375634517766,14338.0,3008461,197
2021-07-03,SCITY,13223.48275862069,13662.0,1917405,145
2021-07-03,WCITY1,14676.125,14164.0,1761135,120
2021-07-04,CCITY,12763.110169491525,10322.0,1506047,118
