date,location_label,dublin_daily_avg_pm25,pm25_count,pm25_min,pm25_max
2022-03-04,north,11.465188622754491,1002,0.87,181.485
2022-03-04,south,5.841259857904085,11260,0.896,222.684
2022-03-07,north,8.395206977197427,5131,2.262,142.363
2022-03-07,south,6.582252753204549,16617,1.326,103.711
2022-03-08,north,12.21382027838428,14656,1.108,105.744
2022-03-08,south,3.2595604626708727,951,0.696,17.24
2022-03-09,south,3.7060691787598947,24256,0.413,110.781
2022-03-10,north,7.098613190324053,4382,1.066,77.624
2022-03-10,south,5.849134088927637,11470,0.714,40.947
2022-03-11,north,10.91738070495717,7121,0.897,57.604
2022-03-11,south,5.189536686057422,15987,0.314,48.736
2022-03-14,north,5.341920163302336,8818,1.162,250.92
2022-03-14,south,5.705879045996593,587,1.888,32.993
2022-03-15,south,6.208815141621812,11333,0.636,148.027
2022-03-16,north,7.38575,40,5.128,11.207
2022-03-16,south,7.893677785727061,11182,1.933,83.395
2022-03-22,north,18.62261001029336,15544,10.565,132.929
2022-03-22,south,18.46701771763393,7168,10.38,121.563
2022-03-23,north,18.84047397213437,11699,9.257,94.942
2022-03-23,south,14.433061440677966,472,8.28,26.232
2022-03-24,north,14.978421519718532,19043,4.541,264.216
2022-03-24,south,23.06516430020284,493,10.872,196.541
2022-03-25,north,21.32928258169052,18515,7.818,194.517
2022-03-25,south,23.77223017902813,782,14.927,63.431
2022-03-28,north,16.33555763888889,17280,8.22,202.519
2022-03-28,south,18.054099866844208,751,9.602,65.084
2022-03-29,north,29.32461876699909,17648,16.168,335.137
2022-03-29,south,27.639167464114834,836,17.831,78.753
2022-03-30,north,10.799421207658321,2716,1.651,119.8
2022-03-30,south,8.72277941050833,11705,1.85,148.853
2022-03-31,south,4.472397492891186,24969,0.728,83.891
2022-04-01,south,4.752723850031506,12696,0.758,241.882
2022-04-04,north,2.496044657013001,18922,0.086,219.483
2022-04-04,south,2.3717548460661346,877,0.529,54.05
2022-04-05,north,10.789918083462133,647,1.274,67.88
2022-04-05,south,5.619888553600655,19552,0.65,134.894
2022-04-06,north,7.326308370044052,227,1.463,90.21
2022-04-06,south,5.2210247410817034,12166,0.72,239.196
2022-04-07,north,7.143077028347996,5115,1.899,85.049
2022-04-07,south,6.979335205571782,4451,1.761,91.192
2022-04-11,north,11.701819008724708,10774,3.314,57.864
2022-04-11,south,11.66579377340824,4272,3.145,42.682
2022-04-12,north,24.11576886035313,1246,15.259,82.488
2022-04-12,south,20.8244753984754,1443,14.707,34.235
2022-04-13,north,7.235842122502456,9159,0.791,147.719
2022-04-13,south,6.257880952380953,504,1.693,19.699
2022-04-14,north,4.371840909090909,836,0.898,15.337
2022-04-14,south,5.136098832341926,22695,0.528,151.203
2022-04-15,north,6.1243372031662275,1895,0.255,138.012
2022-04-15,south,2.1973521816982378,21222,0.086,131.877
2022-04-19,north,8.651594541139241,15168,0.943,157.685
2022-04-19,south,9.707098432601882,6380,2.934,392.83
2022-04-20,north,7.310377095233637,21358,0.711,120.38
2022-04-20,south,11.753397097625331,758,4.071,48.369
2022-04-21,north,16.824663958147816,8984,7.239,127.675
2022-04-21,south,21.064883610451307,2105,7.777,68.625
2022-04-22,north,15.277882978723403,470,5.762,107.612
2022-04-22,south,13.561543139542865,14569,5.359,372.683
2022-04-25,north,7.642169408488474,19391,1.53,190.489
2022-04-25,south,6.3628271711092,1163,1.61,30.943
2022-04-26,south,14.376432009925558,8060,5.624,140.08
2022-04-27,north,11.65886433471833,10349,3.595,26.333
2022-04-27,south,10.360015228426397,591,3.959,278.759
2022-04-28,north,15.252970909090909,275,8.87,40.052
2022-04-28,south,16.100712348415698,23007,6.044,294.643
2022-04-29,north,16.532548387096774,186,10.467,31.162
2022-04-29,south,17.056445729537366,1124,10.055,28.526
2022-05-03,north,10.263567080618891,19648,4.436,122.761
2022-05-03,south,9.227215540540541,1480,3.536,47.583
2022-05-04,north,5.653643019296254,1762,0.671,95.031
2022-05-04,south,4.930256008118456,21679,0.331,171.889
2022-05-05,north,7.261469957081545,466,1.645,46.134
2022-05-05,south,5.566904117201314,19795,0.759,251.627
2022-05-06,south,3.196437902159542,22690,0.114,272.341
2022-05-09,north,3.4067707869021087,5833,0.442,158.804
2022-05-09,south,5.163204708478941,16311,0.215,284.219
2022-05-10,north,6.634781487871714,19706,0.704,206.466
2022-05-10,south,7.706983624695728,4519,1.965,39.287
2022-05-11,north,5.024707900577008,22530,0.583,208.38
2022-05-11,south,6.633919504643964,1615,0.742,127.019
2022-05-12,north,5.819697813638729,3842,1.335,63.885
2022-05-12,south,4.097927074531012,11834,0.211,66.722
2022-05-13,south,17.076689713322093,593,9.267,27.305
2022-05-18,north,23.678859712532567,11897,7.405,116.447
2022-05-18,south,13.111805747126438,870,6.194,29.966
2022-05-19,north,7.785575,40,4.536,14.471
2022-05-19,south,6.362930467091296,20724,0.967,131.757
2022-05-20,north,7.000410821643286,499,1.414,51.14
2022-05-20,south,4.2756137689614935,24853,0.398,111.111
2022-05-23,north,3.110155094157412,20710,0.122,339.866
2022-05-23,south,3.092207301173403,767,0.253,31.076
2022-05-24,north,2.992088200047935,12517,0.12,101.993
2022-05-24,south,2.4615131474103586,1255,0.304,14.67
2022-05-25,north,2.971540530024642,23131,0.258,382.026
2022-05-25,south,4.6418816513761465,1090,0.762,252.831
2022-05-26,south,1.9259489628260422,9738,0.08,85.015
2022-05-27,south,7.385990044482101,9442,2.01,40.81
2022-05-30,north,7.4272341772151895,316,1.633,16.874
2022-05-30,south,4.028758796155352,22993,0.251,108.749
2022-05-31,north,2.8352740235585863,12904,0.194,146.87
2022-05-31,south,4.482999319882112,8822,0.671,87.459
2022-06-01,north,3.0355312307502773,8117,0.187,117.219
2022-06-01,south,3.767312474744559,17323,0.201,296.137
2022-06-02,north,5.105782888465205,4196,0.754,175.56
2022-06-02,south,3.441263622754491,20040,0.252,76.049
2022-06-03,south,4.96399597091195,10176,0.673,47.071
2022-06-07,north,6.682639380221215,21427,1.472,127.689
2022-06-07,south,5.2827099545224865,1979,1.367,15.377
2022-06-08,north,5.456203746732501,6886,0.62,93.162
2022-06-08,south,6.041845424371741,8436,0.648,85.417
2022-06-09,south,2.0114317652538425,8588,0.076,134.479
2022-06-10,north,8.684417610062892,12720,0.494,109.253
2022-06-10,south,7.380356997971602,493,2.609,22.067
2022-06-13,north,7.487251013304086,20971,1.522,283.25
