date,dublin_daily_mean_site_traffic,dublin_daily_median_site_traffic,dublin_daily_total_traffic,dublin_daily_n_sites,dublin_daily_n_regions
2022-05-28,17503.63902927491,15745.285714285714,15116692,886,7
2022-05-29,15643.900304715402,13967.357142857143,13539664,886,7
2022-05-30,17981.508831709714,16120.714285714286,15756878,890,7
2022-05-31,18973.813136417786,17221.0,16539209,889,7
2022-06-01,18964.95528159928,17150.071428571428,16617692,891,7
2022-06-02,19533.12157869534,17711.285714285714,17157502,891,7
2022-06-03,19294.317763483097,17594.64285714286,16901827,889,7
2022-06-04,16709.316661474983,15161.07142857143,14478362,889,7
2022-06-05,14130.773768747884,12604.07142857143,12198005,889,7
2022-06-06,14183.856428131852,12509.57142857143,12197221,885,7
2022-06-07,17919.935887212003,16024.785714285714,15632477,892,7
2022-06-08,18296.25035569401,16065.357142857143,16053845,891,7
2022-06-09,18903.076088091093,17203.214285714286,16589081,893,7
2022-06-10,19320.09673700635,17846.428571428572,16922160,892,7
2022-06-11,17273.89117232575,15542.0,15049417,891,7
2022-06-12,15060.314100491245,13440.285714285714,13080026,891,7
2022-06-13,17884.922875166558,16227.0,15607799,892,7
2022-06-14,18038.040531763756,16024.5,15967538,892,7
2022-06-15,19132.360061641084,17407.571428571428,16820350,895,7
2022-06-16,18747.428393509857,16505.928571428572,16715880,897,7
2022-06-17,18717.96360941525,16450.571428571428,16636580,893,7
2022-06-18,16194.637305225287,14081.42857142857,14298715,886,7
2022-06-19,15014.331995757384,13262.785714285714,13130199,891,7
2022-06-20,17847.339940034715,15791.642857142857,15692590,896,7
2022-06-21,18090.12698122431,16085.5,15959465,894,7
2022-06-22,18863.375534406816,17357.928571428572,16583511,893,7
2022-06-23,19217.691439676062,17865.571428571428,16859036,889,7
2022-06-24,19389.371085275467,17860.35714285714,17002502,894,7
2022-06-25,16972.95208060507,15486.214285714286,14806448,894,7
2022-06-26,15082.06530066494,13564.785714285714,13238299,893,7
2022-06-27,17684.043136249424,16017.857142857143,15517015,893,7
2022-06-28,18309.033611823717,16698.928571428572,16022851,891,7
2022-06-29,18653.652908137014,16973.64285714286,16361873,891,7
2022-06-30,18928.581108019345,17545.071428571428,16718469,895,7
2022-07-01,18765.726115792375,17236.35714285714,16530415,893,7
2022-07-02,16545.4707210703,15157.142857142857,14431932,893,7
2022-07-03,15062.436413129744,13384.785714285714,13151451,893,7
2022-07-04,16871.641062070506,15177.42857142857,14908107,896,7
2022-07-05,17361.0996527008,15865.42857142857,15242803,898,7
2022-07-06,17607.484843780454,16348.0,15504220,897,7
2022-07-07,18188.315148514703,16705.85714285714,15991184,896,7
2022-07-08,18742.97754693153,16851.214285714286,16361052,893,7
2022-07-09,16538.647459740903,15048.357142857143,14377210,892,7
2022-07-10,14942.244591697972,12949.0,12998004,892,7
2022-07-11,17083.948625469005,15261.0,14940829,895,7
2022-07-12,17424.03135845109,15645.142857142857,15340906,896,7
2022-07-13,17902.961012465763,15870.142857142857,15698317,895,7
2022-07-14,18215.585275158206,16491.35714285714,15891337,894,7
2022-07-15,18186.787545723473,16236.07142857143,15833788,892,7
2022-07-16,15910.843009866376,13896.285714285714,13687204,889,7
2022-07-17,14620.104039757261,12681.0,12626358,891,7
2022-07-18,17367.304790951206,15388.57142857143,15003283,891,7
2022-07-19,17692.42977687009,15991.857142857143,15345258,892,7
2022-07-20,17956.206542454165,16257.857142857143,15583597,889,7
2022-07-21,17983.631872493665,15978.214285714286,15777677,894,7
2022-07-22,18375.634558246205,16615.071428571428,16096969,894,7
