date,location_label,mean_daily_site_volume,median_daily_site_volume,total_daily_site_volume,n_sites
2021-10-03,south,12742.299319727892,12545.0,1873118,147
2021-10-04,north,16909.42713567839,15383.0,3364976,199
2021-10-04,south,14758.925170068029,15524.0,2169562,147
2021-10-05,north,17109.81407035176,15586.0,3404853,199
2021-10-05,south,15334.122448979591,15735.0,2254116,147
2021-10-06,north,17491.989949748742,16012.0,3480906,199
2021-10-06,south,15775.22448979592,16395.0,2318958,147
2021-10-07,north,17967.613065326634,16368.0,3575555,199
2021-10-07,south,16267.687074829932,17022.0,2391350,147
2021-10-08,north,18328.773869346733,16815.0,3647426,199
2021-10-08,south,16704.197278911564,17154.0,2455517,147
2021-10-09,north,15915.733668341709,15045.0,3167231,199
2021-10-09,south,14855.455782312923,15529.0,2183752,147
2021-10-10,north,14370.040201005026,13638.0,2859638,199
2021-10-10,south,12876.047619047618,13191.0,1892779,147
2021-10-11,north,17144.21608040201,15322.0,3411699,199
2021-10-11,south,14644.292517006805,15614.0,2152711,147
2021-10-12,north,17474.527638190953,15782.0,3477431,199
2021-10-12,south,15679.77551020408,16216.0,2304927,147
2021-10-13,north,17699.361809045226,16190.0,3522173,199
2021-10-13,south,15966.910958904107,16525.5,2331169,146
2021-10-14,north,18038.708542713568,16378.0,3589703,199
2021-10-14,south,16195.979591836734,16888.0,2380809,147
2021-10-15,north,18244.69,16517.5,3648938,200
2021-10-15,south,16581.761904761905,17556.0,2437519,147
2021-10-16,north,16064.805,15058.0,3212961,200
2021-10-16,south,14942.687074829932,15145.0,2196575,147
2021-10-17,north,14169.225,12991.5,2833845,200
2021-10-17,south,12713.979591836734,12961.0,1868955,147
2021-10-18,north,16870.13,15152.0,3374026,200
2021-10-18,south,14730.72972972973,15806.0,2180148,148
2021-10-19,north,17451.715,15795.5,3490343,200
2021-10-19,south,15360.222972972972,16275.0,2273313,148
2021-10-20,north,17967.85,16195.0,3593570,200
2021-10-20,south,15876.743243243243,16823.0,2349758,148
2021-10-21,north,17780.425,15821.5,3556085,200
2021-10-21,south,16007.25,16766.5,2369073,148
2021-10-22,north,18640.61,16384.0,3728122,200
2021-10-22,south,16687.222972972973,17637.5,2469709,148
2021-10-23,north,16183.505,15004.5,3236701,200
2021-10-23,south,14778.91156462585,15381.0,2172500,147
2021-10-24,north,13940.265,13037.5,2788053,200
2021-10-24,south,12579.959183673467,12852.0,1849254,147
2021-10-25,north,13603.35,12559.5,2720670,200
2021-10-25,south,11724.857142857143,11667.0,1723554,147
2021-10-26,north,16622.015,14829.5,3324403,200
2021-10-26,south,14445.299319727892,15259.0,2123459,147
2021-10-27,north,16948.955,15350.5,3389791,200
2021-10-27,south,15265.43918918919,16069.5,2259285,148
2021-10-28,north,17487.555,15730.5,3497511,200
2021-10-28,south,16041.734693877552,17140.0,2358135,147
2021-10-29,north,18016.405,15933.5,3603281,200
2021-10-29,south,16703.30612244898,17577.0,2455386,147
2021-10-30,north,16213.695,14728.0,3242739,200
2021-10-30,south,15122.115646258504,16092.0,2222951,147
2021-10-31,north,420.09,321.0,84018,200
2021-10-31,south,485.9387755102041,438.0,71433,147
2021-11-01,north,17185.475,15391.0,3437095,200
2021-11-01,south,15230.619047619048,16140.0,2238901,147
2021-11-02,north,16896.975,15108.0,3379395,200
2021-11-02,south,15235.371621621622,15848.5,2254835,148
2021-11-03,north,17155.64,15253.5,3431128,200
2021-11-03,south,15681.326530612245,16619.0,2305155,147
2021-11-04,north,17805.49,15868.0,3561098,200
2021-11-04,south,16268.122448979591,17381.0,2391414,147
2021-11-05,north,18677.7,16489.0,3735540,200
2021-11-05,south,16778.557823129253,18217.0,2466448,147
2021-11-06,north,16636.755,15057.5,3327351,200
2021-11-06,south,15547.122448979591,16834.0,2285427,147
2021-11-07,north,14712.85,13329.5,2942570,200
2021-11-07,south,13094.714285714286,13101.0,1924923,147
2021-11-08,north,17179.905,15227.0,3435981,200
2021-11-08,south,14902.700680272108,15941.0,2190697,147
2021-11-09,north,17536.635,15551.0,3507327,200
2021-11-09,south,15461.1768707483,16852.0,2272793,147
2021-11-10,north,17994.705,16150.5,3598941,200
2021-11-10,south,15970.714285714286,17119.0,2347695,147
2021-11-11,north,18450.34,16348.5,3690068,200
2021-11-11,south,16553.175675675677,17603.0,2449870,148
2021-11-12,north,18999.815,16732.0,3799963,200
2021-11-12,south,17443.27210884354,18354.0,2564161,147
2021-11-13,north,16519.385,15156.5,3303877,200
2021-11-13,south,15459.605442176871,16784.0,2272562,147
2021-11-14,north,14746.685,13390.0,2949337,200
2021-11-14,south,13116.3537414966,13662.0,1928104,147
2021-11-15,north,17276.59,15420.0,3455318,200
2021-11-15,south,14663.90476190476,15865.0,2155594,147
2021-11-16,north,16447.104265402842,14813.0,3470339,211
2021-11-16,south,14549.398692810457,15526.0,2226058,153
2021-11-17,north,17802.86,16259.5,3560572,200
2021-11-17,south,15693.851351351352,16661.5,2322690,148
2021-11-18,north,18162.36,16071.5,3632472,200
2021-11-18,south,16177.04054054054,17107.5,2394202,148
2021-11-19,north,18474.77,16299.5,3694954,200
2021-11-19,south,16407.425675675677,17357.5,2428299,148
2021-11-20,north,16095.895,14263.5,3219179,200
2021-11-20,south,14727.21088435374,15610.0,2164900,147
2021-11-21,north,14680.215,12999.0,2936043,200
2021-11-21,south,13118.918367346938,14140.0,1928481,147
2021-11-22,north,16996.55,15071.0,3399310,200
2021-11-22,south,14406.65306122449,15708.0,2117778,147
2021-11-23,north,17162.485,15036.5,3432497,200
2021-11-23,south,14897.858108108108,15921.5,2204883,148
2021-11-24,north,17084.13930348259,15289.0,3433912,201
2021-11-24,south,15117.755102040815,16417.0,2222310,147
2021-11-25,north,17863.765,15930.5,3572753,200
2021-11-25,south,16028.292517006805,17155.0,2356159,147
2021-11-26,north,18318.08542713568,16388.0,3645299,199
2021-11-26,south,16544.210884353743,18417.0,2431999,147
2021-11-27,north,16040.281407035176,14206.0,3192016,199
2021-11-27,south,15007.047619047618,16335.0,2206036,147
2021-11-28,north,14464.402010050251,12928.0,2878416,199
